nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide
294515,/universities/university-college-cork,University College Cork,"<img src=""https://www.topuniversities.com/sites/default/files/university-college-cork_142_small_6.jpg"" alt=""University College Cork Logo"">",142,34.9,286,Ireland,Europe,,"<a href=""/where-to-study/europe/ireland/guide"" class=""guide-link"" target=""_blank"">Ireland</a>"
296684,/universities/king-saud-university,King Saud University,"<img src=""https://www.topuniversities.com/sites/default/files/king-saud-university_1175_small.jpg"" alt=""King Saud University Logo"">",1175,34.8,=287,Saudi Arabia,Asia,5,"<a href=""/where-to-study/asia/saudi-arabia/guide"" class=""guide-link"" target=""_blank"">Saudi Arabia</a>"
297497,/universities/universitat-pompeu-fabra,Universitat Pompeu Fabra,"<img src=""https://www.topuniversities.com/sites/default/files/universitat-pompeu-fabra_504_small.jpg"" alt=""Universitat Pompeu Fabra Logo"">",504,34.8,=287,Spain,Europe,NA,"<a href=""/where-to-study/europe/spain/guide"" class=""guide-link"" target=""_blank"">Spain</a>"
297554,/universities/universite-paris-1-pantheon-sorbonne,Université Paris 1 Panthéon-Sorbonne,"<img src=""https://www.topuniversities.com/sites/default/files/universit-paris-1-panthon-sorbonne_482_small.jpg"" alt=""Université Paris 1 Panthéon-Sorbonne Logo"">",482,34.8,=287,France,Europe,NA,"<a href=""/where-to-study/europe/france/guide"" class=""guide-link"" target=""_blank"">France</a>"
297227,/universities/university-turku,University of Turku,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-turku_592560cf2aeae70239af4cfe_small.jpg"" alt=""University of Turku Logo"">",634,34.8,=287,Finland,Europe,,"<a href=""/where-to-study/europe/finland/guide"" class=""guide-link"" target=""_blank"">Finland</a>"
294506,/universities/dalhousie-university,Dalhousie University,"<img src=""https://www.topuniversities.com/sites/default/files/dalhousie-university_151_small.jpg"" alt=""Dalhousie University Logo"">",151,34.6,=291,Canada,North America,5,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>"
294787,/universities/ens-paris-saclay,ENS Paris-Saclay,"<img src=""https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-de-cachan_1878_small.jpg"" alt=""ENS Paris-Saclay Logo"">",1878,34.6,=291,France,Europe,,"<a href=""/where-to-study/europe/france/guide"" class=""guide-link"" target=""_blank"">France</a>"
297261,/universities/technion-israel-institute-technology,Technion - Israel Institute of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/technion-israel-institute-of-technology_600_small.jpg"" alt=""Technion - Israel Institute of Technology Logo"">",600,34.6,=291,Israel,Asia,,"<a href=""/where-to-study/asia/israel/guide"" class=""guide-link"" target=""_blank"">Israel</a>"
294859,/universities/university-miami,University of Miami,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-miami_401_small.jpg"" alt=""University of Miami Logo"">",401,34.6,=291,United States,North America,NA,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
297110,/universities/gwangju-institute-science-technology-gist,Gwangju Institute of Science and Technology (GIST),"<img src=""https://www.topuniversities.com/sites/default/files/gwangju-institute-of-science-and-technology-gist_718_small.jpg"" alt=""Gwangju Institute of Science and Technology (GIST) Logo"">",718,34.5,=295,South Korea,Asia,,"<a href=""/where-to-study/asia/south-korea/guide"" class=""guide-link"" target=""_blank"">South Korea</a>"
294837,/universities/north-carolina-state-university,North Carolina State University,"<img src=""https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg"" alt=""North Carolina State University Logo"">",423,34.5,=295,United States,North America,6,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
297289,/universities/university-south-australia,University of South Australia,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-south-australia_566_small_4.jpg"" alt=""University of South Australia Logo"">",566,34.5,=295,Australia,Oceania,5,"<a href=""/where-to-study/oceania/australia/guide"" class=""guide-link"" target=""_blank"">Australia</a>"
295115,/universities/hse-university-national-research-university-higher-school-economics,HSE University (National Research University Higher School of Economics),"<img src=""https://www.topuniversities.com/sites/default/files/hse-university-national-research-university-higher-school-of-economics_592560cf2aeae70239af52ec_small.jpg"" alt=""HSE University (National Research University Higher School of Economics) Logo"">",2152,34.4,=298,Russia,Europe,,"<a href=""/where-to-study/europe/russia/guide"" class=""guide-link"" target=""_blank"">Russia</a>"
294795,/universities/national-yang-ming-university,National Yang Ming University,"<img src=""https://www.topuniversities.com/sites/default/files/national-yang-ming-university_444_small.jpg"" alt=""National Yang Ming University Logo"">",444,34.4,=298,Taiwan,Asia,NA,"<a href=""/where-to-study/asia/taiwan/guide"" class=""guide-link"" target=""_blank"">Taiwan</a>"
297470,/universities/university-strathclyde,University of Strathclyde,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-strathclyde_579_small_1.jpg"" alt=""University of Strathclyde Logo"">",579,34.3,300,United Kingdom,Europe,5,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
297099,/universities/heriot-watt-university,Heriot-Watt University,"<img src=""https://www.topuniversities.com/sites/default/files/heriot-watt-university_592560cf2aeae70239af4d5f_small_5.jpg"" alt=""Heriot-Watt University Logo"">",730,34.2,=301,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
